name,fullname,alts
Amygdala,amygdala,
CA,central amygdala,CentralAmyg
BLA,basolateral amygdala,
BA,basal amygdala,BasoAmyg|basoamygdala
MeA,medial amygdala,MedialAmyg
HIPPO,hippocampus,
DG,dentate gyrus,DentateGyrus
Ctx,cerebral cortex,
DLPFC,dorsolateral prefrontal cortex,
mPFC,medial prefrontal cortex,
dACC,dorsal anterior cingulate cortex,
sACC,subgenual anterior cingulate cortex,
ERC,entorhinal cortex,
CB,cyngulum bundle,
Caudate,caudate nucleus,
Habenula,habenula,
MFG,middle frontal gyrus,
NAc,nucleus accumbens,
ESC,embryonic stem cells,
